I (A), N (1/с)
0.1, 1.350
0.2, 1.39
0.3, 1.16
0.4, 1.52
0.5, 1.48
0.7, 2.019
0.8, 2.069
0.9, 2.119
1.0, 2.919
1.1, 3.479
1.2, 3.939
1.3, 4.899
1.4, 4.849
1.5, 6.028
1.6, 6.748
1.7, 6.928
1.8, 7.988
1.9, 7.868
2.0, 7.978
2.1, 7.598
2.2, 7.388
2.3, 6.848
2.4, 6.058
2.5, 5.168
2.6, 4.529
2.7, 4.029
2.8, 3.499
2.9, 3.489
3.0, 5.119
3.1, 9.127
3.2, 11.956
3.3, 11.227
3.4, 8.232
3.5, 5.048
3.6, 2.279
3.7, 1.430
3.8, 1.020
3.9, 0.740
2.95, 4.299
3.05, 6.478
2.85, 3.509
3.07, 8.128
3.15, 11.107
3.35, 10.717
3.37, 9.967
3.45, 6.958
3.55, 3.159
3.25, 13.456

