,N_i,\sigma_{N_i},E_i,\sigma_{E_i},R_i,\sigma_{R_i}
^{22}\text{Na},740,27.202941017470888,742.865184128248,31.50678153544781,0.042412516037376294,0.0017988215166207012
^{22}\text{Na},1800,42.42640687119285,1840.1501991042915,54.76351905333877,0.029760352758158203,0.0008856785962900145
^{137}\text{Cs},940,30.659419433511783,949.9000926142938,36.271576418363814,0.038184622467546024,0.0014580653929890206
^{60}\text{Co},1657,40.70626487409524,1692.1202395367686,51.82640975014959,0.03062808926884385,0.0009380798522602679
^{60}\text{Co},1865,43.18564576337837,1907.4365443622564,56.08669220932731,0.029404224415800772,0.0008646084134947742
^{241}\text{Am},132,11.489125293076057,113.4790623306683,13.028458358797543,0.11480935858311667,0.013181188818266664
^{152}\text{Eu},99,9.9498743710662,79.31830243047074,11.485372161128975,0.14480103342096717,0.02096733927978005
^{152}\text{Eu},216,14.696938456699069,200.4337238948076,16.407468563691598,0.08185982001862435,0.006701030133481572
^{152}\text{Eu},378,19.44222209522358,368.1319997685048,21.769557686221468,0.059135195255807654,0.0034969713179424963
